video_id,video_duration_ms,watch_ratio_mean,watch_ratio_median,watch_ratio_p90,watch_ratio_p10,n_views
0,5968,1.4817201713984556,1.2984249329758712,2.221213136729223,0.3340817694369973,117
2,8034,1.2729811761551866,1.0654717450833955,1.9782300224047797,0.4647249190938511,130
4,18228,0.6174566600833882,0.7889510642966864,1.1796247531270572,0.0,5
7,7234,1.2474776518293245,1.1470141000829415,2.057768869228643,0.25828034282554596,150
9,11519,0.7684260786526608,0.5395433631391614,1.665031686778366,0.10070318604045485,6
10,23667,0.2638905253973573,0.2212363206152026,0.5489922677145392,0.0454641483922761,511
12,6334,1.6069157792002755,1.3819071676665615,2.195484685822545,0.49044837385538376,88
13,17200,0.6289728682170542,0.5359883720930233,1.331325581395349,0.06569767441860458,27
14,6234,1.3404120262156836,1.230028873917228,2.150080205325634,0.6510747513634906,70
15,6834,1.1464929761871643,1.087840825350037,1.8325128960943258,0.34375829034635225,145
16,8778,1.6302625249993672,1.841535657325131,2.2864889496468446,0.7494645705172021,9
18,10300,0.8793727434769417,0.8026207903519418,1.5904003906250004,0.2825503261529127,40
19,16967,0.6783608805227241,0.4823076923076923,1.257905325443787,0.1377359754734477,9
20,8034,1.217120341994798,1.0191685337316407,1.713841175006224,0.49372666168782675,58
21,17685,0.7811365564037319,0.46991800961266605,1.6948204693242857,0.057817359344076835,10
22,6067,1.2422342401739137,1.131201582330641,1.7733641008735783,0.682478984671172,74
23,10434,0.9137470804137471,0.6701169254360744,2.180678550891318,0.12564692351926388,27
24,7400,1.2033316953316953,1.09,1.9361891891891891,0.3556216216216216,55
26,5206,1.3527340248431297,1.1519400691509796,1.8326162120630045,0.9518248175182482,9
27,6934,1.244712556465655,1.181010630551915,2.0045143439638853,0.3302752293577982,661
28,9700,1.3295434462444773,0.924639175257732,2.4096288659793825,0.683237113402062,7
29,4934,1.2719744375760031,1.2119983785974868,1.9296108633968383,0.5981151195784354,128
31,8534,0.5140634368075544,0.1678857951864086,1.1764039641340254,0.1386267107126002,669
32,15082,0.5280868096511003,0.4289881978517438,1.0181341997082616,0.09193077841135125,76
33,13347,0.6275351418642046,0.49396868210084666,1.0972428261032443,0.10619614894732897,312
34,8476,1.0199248859524934,1.016517225106182,1.5606890042472865,0.5778787163756489,60
36,10934,0.5559842307433115,0.38160782879092736,1.0532284616791658,0.0861075544174135,76
37,12000,0.7952111486486486,0.570875,1.5493500000000004,0.1084833333333333,148
38,4134,1.6490708558383087,1.703589869682813,2.4675158440105025,0.5404450895016932,458
41,5767,1.4120114040995078,1.222299289058436,2.0707126755678864,0.5878272932200451,129
42,10773,0.7507365290611043,0.6846746495869303,1.2825582474705282,0.181100900399146,631
44,17267,1.0026872068106791,0.4432153819424335,2.0139572595123645,0.2719059477616262,5
45,16634,0.5644911788299095,0.4935072742575448,1.0544787784056755,0.1016832992665624,335
46,4034,1.526392331845976,1.5849033217649975,2.2180466038671294,0.9555280118988597,30
47,7567,1.0816228528331617,1.0375974626668427,1.8213030262984007,0.25231928108893875,314
48,4457,1.631991231705547,1.6046778261866543,2.4774134372850267,0.6522357257509745,1635
50,11534,0.6474311243484736,0.4736431420149124,1.253337957343506,0.1137246401942084,1122
51,47021,0.3976633060927984,0.0682248357117032,0.1974139214393568,0.0,19
52,11967,0.6118716350917405,0.6148993064260049,1.0810980195537727,0.15074789003091835,56
53,12400,0.7199233716475096,0.6343548387096775,1.2208064516129031,0.1577419354838709,261
54,15500,0.6988416422287389,0.5348387096774194,1.12581935483871,0.255058064516129,22
55,7858,1.0387209349155255,0.9955459404428608,1.6391702723339276,0.30944260626113523,929
57,16334,0.5302061262491592,0.478939635116934,0.9730164578727587,0.023790882021602306,535
58,19000,0.43130739425250236,0.2496842105263158,1.0930105263157897,0.081578947368421,163
